Restaurant Name,Rating,Reviews,Cuisine/Type,Price Level,Address,Latitude,Longitude
The Mustard Seed,4.3,226,American,$$$$ ,"222 D St #11, Davis, CA 95616",38.5445,-121.742
Osteria Fasulo,4.3,148,Italian,$$$$,"2657 Portage Bay E, Davis, CA 95616",38.55,-121.78
Burgers & Brew,4.2,434,American,$$ - $$$ ,"403 3rd St, Davis, CA 95616",38.54,-121.74
Paesano's,4,148,Italian,$$ - $$$,"139 G St, Davis, CA 95616",38.54,-121.74
Mikuni Japanese Restaurant & Sushi Bar,4.3,106,"Japanese, Sushi",$$ - $$$,"1350, 500 1st St, Davis, CA 95616",38.54,-121.74
Sam's Cuisine,4.5,44,"Lebanese, Mediterranean",$,"301 B St, Davis, CA 95616",38.54,-121.75
Sophia's Thai Kitchen,4.1,136,"Asian, Thai",$$ - $$$,"129 E St, Suite E, Davis, CA 95616",38.54,-121.74
Black Bear Diner,4,182,"American, Breakfast",$$ - $$$,"255 2nd St, Davis, CA 95616",38.5428,-121.7447
Woodstock's Pizza Davis,4.1,135,"American, Pizza",$$ - $$$,"238 G St, Davis, CA 95616",38.54,-121.74
Dumpling House,4.1,55,"Chinese, Asian",$,"129 E St, Davis, CA 95616",38.54,-121.74
Wok of Flame,4.3,69,"Chinese, Asian",$$ - $$$,"417 Mace Blvd, Davis, CA 95618",38.55,-121.7
Taqueria Davis,4.5,70,Mexican,$,"505 1/2 L St, Davis, CA 95616",38.55,-121.73
Tres Hermanas,3.9,70,Mexican,$$ - $$$,"805 2nd St, Davis, CA 95616",38.54,-121.74
Burma Eat,4.4,14,"Asian, Burmese",$$ - $$$,"500 1st St, Suite 11, Davis, CA 95616",38.54,-121.74
Froggy's,4.2,34,"American, Bar",$$ - $$$,"726 2nd St, Davis, CA 95616",38.54,-121.74
Farmer's Kitchen Cafe at Natural Food Works,4.3,17,Cafe,$$ - $$$,"624 4th St, Davis, CA 95616",38.55,-121.74
Yeti Retaurant,4.3,33,"Indian, Asian",$$ - $$$,"234 E St, Davis, CA 95616",38.54,-121.74
Zen-Toro At Davis,4.2,58,"Japanese, Sushi",$$ - $$$,"132 E St #100, Davis, CA 95616",38.54,-121.74
Delta of Venus,4.1,32,"American, Cafe",$$ - $$$,"122 B St, Davis, CA 95616",38.54,-121.74
Tea List,4.7,27,Tea,$$ - $$$,"222 D St, Davis, CA 95616",38.54,-121.74
Symposium Restaurant & Pizza,4,54,"Pizza, Mediterranean",$$ - $$$,"1620 E 8th St, Davis, CA 95616",38.5681,-121.7169
Lamppost Pizza,4.7,21,Pizza,$$ - $$$,"1260 Lake Blvd, Suite 113, Davis, CA 95616",38.55,-121.79
Good Friends Hawaiian Poke & Ramen,5,6,"Japanese, Hawaiian",$$ - $$$,"400 G St, Davis, CA 95616",38.5471,-121.7431
Guads Tacos And Beer,4.5,4,Mexican,$,"231 3rd St, Davis, CA 95616",38.54,-121.75
Huku Japanese Bistro,3.8,39,"Japanese, Sushi",$$ - $$$,"417 Mace Blvd #D, Davis, CA 95618",38.55,-121.7
Tasty Kitchen,4.1,29,"Chinese, Asian",$$ - $$$,"335 F St, Davis, CA 95616",38.55,-121.74
Yuchan Shokudo,4.1,26,Japanese,$$ - $$$,"109 E St, Davis, CA 95616",38.54,-121.74
Kathmandu Kitchen,3.8,95,"Indian, Nepali",$$ - $$$,"234 G St #4517, Davis, CA 95616",38.54,-121.74
Mamma,3.1,7,"Italian, American",$$ - $$$,"226 F St, Davis, CA 95616",38.54,-121.74
Tommy J's Grill & Catering,4.5,18,Bar,$,"726 2nd St, Davis, CA 95616",38.54,-121.74
Taqueria Guadalajara Grill,4.3,62,Mexican,$,"417 Mace Blvd A, Davis, CA 95618",38.5539,-121.7013
Thai Canteen,3.9,26,"Asian, Thai",$,"117 E St, Davis, CA 95616",38.5445,-121.741
Preethi Indian Cuisine,3.9,45,Indian,$$ - $$$,"715 2nd St, Davis, CA 95616",38.5434,-121.7483
Blaze Pizza,4.1,29,"American, Pizza",$,"212 F St, Davis, CA 95616",38.5447,-121.7454
Yang Kee Dumpling,4.5,2,Chinese,$$ - $$$,"2151 Cowell Blvd C, Davis, CA 95618",38.5422,-121.7001
Davis Noodle City,3.6,25,"Chinese, Asian",$,"129 E St, Davis, CA 95616",38.5447,-121.7431
University of Beer - Davis,4.1,27,Bar,$$ - $$$,"615 3rd St, Davis, CA 95616",38.5456,-121.7481
Hunan Bar & Restaurant,3.6,37,"Chinese, Asian",$,"207 D St, Davis, CA 95616",38.5446,-121.7423
Three Ladies Cafe,3.8,5,Healthy,$$ - $$$,"130 G St, Suite A, Davis, CA 95616",38.5439,-121.746
