Restaurant Name,Rating,Reviews,Type of Cuisine,Price Level
Urban Plates,4.7,96,"New American, Sandwiches, Salad",NaN
88 BaoBao,3.9,16,"Dim Sum, Noodles, Asian Fusion",NaN
Sam's Cuisine,4.4,1400,"Mediterranean, Halal",$$
Sit Lo Saigon,4.2,231,"Vietnamese, Noodles, Soup",$$
The Melt,4.6,51,"Burgers, Sandwiches, Chicken Shop",NaN
Good Friends Hawaiian Poke,4.6,604,"Poke, Seafood, Hawaiian",$$
Yang Kee Dumpling,4.6,675,"Dim Sum, Desserts, Noodles",$$
Tim's Kitchen,4.3,124,"Asian Fusion, Hong Kong Style Cafe, Steakhouses",$$
Mom's Dumpling,4.5,13,"Dim Sum, Seafood",NaN
Estelle Bakery & Patisserie,3.9,83,"Bakeries, Breakfast & Brunch, Patisserie/Cake Shop",$$
My Burma,4.5,681,"Burmese, Asian Fusion, Thai",$$
Guads Tacos & Beer,4.6,421,"Beer Bar, Tacos",$$
Yuchan Shokudo,3.9,709,"Ramen, Japanese Curry",$$
Taqueria Guadalajara - North Davis,4.2,1000,Mexican,$
Dumpling House,3.9,1500,"Chinese, Dumplings",$$
Upper Crust Baking,4.2,189,"Bakeries, Desserts, Pizza",$$
Bull 'N Mouth,3.8,138,"New American, Burgers, Beer Bar",$$
Acai Fresh,4.4,59,Acai Bowls,NaN
The Old Teahouse,4.3,58,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies",NaN
Dah Bao,4.6,57,"Chinese, Bubble Tea",$$
Pupusas Y Mas,4.7,22,"Food Trucks, Mexican, Salvadoran",NaN
Tasty Pot,4.3,96,"Taiwanese, Hot Pot, Chicken Wings",NaN
Tasty Palace,4.1,124,Chinese,$$
Shabu Shack,4.1,106,Japanese,NaN
Bruxie,3.7,179,"Chicken Shop, Sandwiches",$$
Mendocino Farms,4.3,33,"Salad, Sandwiches",NaN
Shah's Halal Food,4.7,3,"Halal, Middle Eastern, Mediterranean",NaN
Crepeville,3.8,1200,"Breakfast & Brunch, Creperies, Sandwiches",$$
Burgers and Brew,3.8,2400,"Burgers, Bars",$$
Hikari Sushi & Omakase,4.9,222,"Sushi Bars, Japanese",$$$$
Outpost Burger,4.3,109,"Burgers, Hot Dogs, Sandwiches",$$
T-Kumi Ramen & Rice Bowl,4.1,458,"Ramen, Asian Fusion, Beer, Wine & Spirits",$$
MightyGoodFood,5,7,"Caterers, Personal Chefs, Food Delivery Services",$$
Cajun Feast,3.6,199,"Cajun/Creole, Asian Fusion, Breakfast & Brunch",$$
Molly Jasmine Tea Shoppe,4.4,114,"Juice Bars & Smoothies, Coffee & Tea",$$
Shah's Halal Food - University Mall,4.3,391,"Food Trucks, Halal, Mediterranean",$$
Ali Baba,3.7,478,Middle Eastern,$
Ike's Love & Sandwiches,3.9,464,Sandwiches,$$
Tasty Gourmet,4.7,372,"Cantonese, Dim Sum, Seafood",$$
Mermaid Sushi,4.4,56,"Sushi Bars, Seafood, Salad",$
Taffach Ethiopian Restaurant,3.8,61,Ethiopian,NaN
The Posh Bagel,4,374,"Bagels, Coffee & Tea, Sandwiches",$
Volt Coffee Tea & Tap,4.2,58,"Coffee & Tea, Beer Bar",NaN
Calicraft Brewing,3.7,29,Breweries,NaN
Hunan Style,4.2,54,"Chinese, Desserts, Soup",$$
Frenzy Coffee,4.1,65,"Coffee Roasteries, Coffee & Tea",NaN
Nick The Greek,4.3,258,Greek,$$
MAYA'S Authentic Mexican Food,3.9,116,"Salad, Seafood, Mexican",$$
Thai Canteen,3.7,1200,"Thai, Noodles",$$
Show Izakaya,4.3,74,"Japanese, Sushi Bars",NaN
Delta of Venus,3.9,439,"Pubs, Cafes, Breakfast & Brunch",$$
Chandos,4.8,5,Food Trucks,NaN
Tim’s Hawaiian BBQ,4,65,"Ramen, Hawaiian, Barbeque",NaN
Mikuni,4,1200,"Japanese, Sushi Bars, Seafood",$$
Cloud Forest Cafe,3.9,362,"Coffee & Tea, Breakfast & Brunch, Salad",$
Paesanos,3.7,843,"Italian, Pizza",$$
Cafe Bernardo,3.5,807,New American,$$
Village Bakery,4.2,360,"Bakeries, Pizza, Salad",$
The Chocolate Bar Davis,5,4,"Desserts, Cooking Classes",NaN
Taqueria Davis,4.4,712,Mexican,$$
Pho Tasty,3.9,213,"Vietnamese, Noodles",$$
Raising Cane's Chicken Fingers,3.3,227,"Chicken Shop, Fast Food",$$
Tim's Hawaiian BBQ,4.2,140,"Hawaiian, Barbeque",$$
Paste Thai,4,116,Thai,$$
